"sample","when","hour","decimalDate","stringDate","T_10ft","T_140ft","T_soil","hum_10ft","hum_140ft","precip","pressure","order"
1,2017-09-10 07:15:00,0.25,253.01,"Sun Sep 10 2017",18.65,21.61,21.91,53.97,28,0,868,1
1,2017-09-10 07:30:00,0.5,253.021,"Sun Sep 10 2017",18.97,21.49,21.91,52.6,27.9,0,868,2
1,2017-09-10 07:45:00,0.75,253.031,"Sun Sep 10 2017",19.04,21.49,21.9,51.87,27.32,0,868,3
1,2017-09-10 08:00:00,1,253.042,"Sun Sep 10 2017",19.08,21.57,21.89,50.82,27.84,0,868,4
1,2017-09-10 08:15:00,1.25,253.052,"Sun Sep 10 2017",18.98,21.44,21.89,51.59,28.6,0,868,5
1,2017-09-10 08:30:00,1.5,253.062,"Sun Sep 10 2017",19.14,21.59,21.88,51.32,28.77,0,869,6
1,2017-09-10 08:45:00,1.75,253.073,"Sun Sep 10 2017",18.98,21.22,21.86,52.32,30.03,0,869,7
1,2017-09-10 09:00:00,2,253.083,"Sun Sep 10 2017",18.59,20.96,21.85,55.25,31.47,0,869,8
1,2017-09-10 09:15:00,2.25,253.094,"Sun Sep 10 2017",18.05,21,21.85,58.61,31.62,0,868,9
1,2017-09-10 09:30:00,2.5,253.104,"Sun Sep 10 2017",17.72,20.68,21.84,60.34,33.09,0,868,10
1,2017-09-10 09:45:00,2.75,253.115,"Sun Sep 10 2017",17.57,20,21.83,62.31,35.1,0,868,11
1,2017-09-10 10:00:00,3,253.125,"Sun Sep 10 2017",17.16,19.82,21.81,64.65,35.67,0,868,12
1,2017-09-10 10:15:00,3.25,253.135,"Sun Sep 10 2017",17.12,20.06,21.8,64.57,34.93,0,868,13
1,2017-09-10 10:30:00,3.5,253.146,"Sun Sep 10 2017",17.16,19.94,21.78,64.44,35.08,0,868,14
1,2017-09-10 10:45:00,3.75,253.156,"Sun Sep 10 2017",17.27,20.05,21.77,62.86,34.33,0,868,15
1,2017-09-10 11:00:00,4,253.167,"Sun Sep 10 2017",17.46,20.23,21.76,60.77,33.63,0,868,16
1,2017-09-10 11:15:00,4.25,253.177,"Sun Sep 10 2017",17.72,19.98,21.74,59.94,34.31,0,868,17
1,2017-09-10 11:30:00,4.5,253.188,"Sun Sep 10 2017",17.84,19.89,21.73,59.18,34.4,0,869,18
1,2017-09-10 11:45:00,4.75,253.198,"Sun Sep 10 2017",17.96,20.28,21.71,58.36,33.06,0,869,19
1,2017-09-10 12:00:00,5,253.208,"Sun Sep 10 2017",18.19,20.81,21.7,57.09,31.8,0,869,20
1,2017-09-10 12:15:00,5.25,253.219,"Sun Sep 10 2017",18.35,20.98,21.68,56.43,31.33,0,869,21
1,2017-09-10 12:30:00,5.5,253.229,"Sun Sep 10 2017",18.61,21.07,21.65,55.59,31.15,0,869,22
1,2017-09-10 12:45:00,5.75,253.24,"Sun Sep 10 2017",18.64,20.79,21.64,55.65,31.72,0,869,23
1,2017-09-10 13:00:00,6,253.25,"Sun Sep 10 2017",18.3,20.39,21.62,56.71,32.64,0,869,24
1,2017-09-10 13:15:00,6.25,253.26,"Sun Sep 10 2017",18.05,20.12,21.61,58.51,33.73,0,869,25
1,2017-09-10 13:30:00,6.5,253.271,"Sun Sep 10 2017",17.34,19.88,21.59,64.42,34.57,0,869,26
1,2017-09-10 13:45:00,6.75,253.281,"Sun Sep 10 2017",16.75,20.02,21.57,69.01,33.92,0,869,27
1,2017-09-10 14:00:00,7,253.292,"Sun Sep 10 2017",16.44,19.91,21.55,70.9,34.34,0,869,28
1,2017-09-10 14:15:00,7.25,253.302,"Sun Sep 10 2017",16.57,20.47,21.54,70.3,33.14,0,869,29
1,2017-09-10 14:30:00,7.5,253.312,"Sun Sep 10 2017",17.83,21.5,21.52,67.11,32.04,0,869,30
1,2017-09-10 14:45:00,7.75,253.323,"Sun Sep 10 2017",19.16,21.72,21.5,65.01,32.46,0,869,31
1,2017-09-10 15:00:00,8,253.333,"Sun Sep 10 2017",20.12,22.22,21.48,64.43,31.7,0,869,32
1,2017-09-10 15:15:00,8.25,253.344,"Sun Sep 10 2017",22.64,22.91,21.45,57.57,31.78,0,869,33
1,2017-09-10 15:30:00,8.5,253.354,"Sun Sep 10 2017",23.48,23.45,21.43,55.41,31.04,0,869,34
1,2017-09-10 15:45:00,8.75,253.365,"Sun Sep 10 2017",23.18,24.23,21.42,56.73,30.44,0,869,35
1,2017-09-10 16:00:00,9,253.375,"Sun Sep 10 2017",23.65,24.78,21.4,52.76,30.29,0,869,36
1,2017-09-10 16:15:00,9.25,253.385,"Sun Sep 10 2017",24.77,25.02,21.38,52.18,30.98,0,870,37
1,2017-09-10 16:30:00,9.5,253.396,"Sun Sep 10 2017",24.07,23.89,21.37,54.17,32.06,0,870,38
1,2017-09-10 16:45:00,9.75,253.406,"Sun Sep 10 2017",24.04,23.99,21.34,52.82,30.93,0,869,39
1,2017-09-10 17:00:00,10,253.417,"Sun Sep 10 2017",24.33,24.3,21.33,52.77,31.56,0,869,40
1,2017-09-10 17:15:00,10.25,253.427,"Sun Sep 10 2017",25.1,24.52,21.31,48.65,30.39,0,869,41
1,2017-09-10 17:30:00,10.5,253.438,"Sun Sep 10 2017",26.53,24.63,21.3,45.83,30.57,0,869,42
1,2017-09-10 17:45:00,10.75,253.448,"Sun Sep 10 2017",27.32,24.84,21.28,44.81,31.07,0,869,43
1,2017-09-10 18:00:00,11,253.458,"Sun Sep 10 2017",27.89,25.1,21.27,45.39,31.84,0,869,44
1,2017-09-10 18:15:00,11.25,253.469,"Sun Sep 10 2017",28.15,25.02,21.25,44.52,31.67,0,869,45
1,2017-09-10 18:30:00,11.5,253.479,"Sun Sep 10 2017",28.28,25.41,21.25,45.53,31.43,0,869,46
1,2017-09-10 18:45:00,11.75,253.49,"Sun Sep 10 2017",28.45,25.61,21.22,44.68,31.19,0,869,47
1,2017-09-10 19:00:00,12,253.5,"Sun Sep 10 2017",28.8,25.87,21.23,43.23,30.33,0,869,48
1,2017-09-10 19:15:00,12.25,253.51,"Sun Sep 10 2017",29.02,26.06,21.26,44.75,31.29,0,868,49
1,2017-09-10 19:30:00,12.5,253.521,"Sun Sep 10 2017",29.1,26.1,21.21,44.84,31.86,0,868,50
1,2017-09-10 19:45:00,12.75,253.531,"Sun Sep 10 2017",29.25,26,21.2,44.45,31.96,0,868,51
1,2017-09-10 20:00:00,13,253.542,"Sun Sep 10 2017",28.61,25.9,21.2,44.46,31.58,0,868,52
1,2017-09-10 20:15:00,13.25,253.552,"Sun Sep 10 2017",28.76,26.23,21.21,44.83,31.34,0,868,53
1,2017-09-10 20:30:00,13.5,253.562,"Sun Sep 10 2017",29,26.13,21.21,45.22,32.19,0,868,54
1,2017-09-10 20:45:00,13.75,253.573,"Sun Sep 10 2017",28.67,26.26,21.23,44.87,31.65,0,868,55
1,2017-09-10 21:00:00,14,253.583,"Sun Sep 10 2017",28.75,26.08,21.23,45.21,31.36,0,868,56
1,2017-09-10 21:15:00,14.25,253.594,"Sun Sep 10 2017",28.7,26.48,21.22,45.56,31.14,0,868,57
1,2017-09-10 21:30:00,14.5,253.604,"Sun Sep 10 2017",29.2,26.63,21.25,45.14,31.64,0,868,58
1,2017-09-10 21:45:00,14.75,253.615,"Sun Sep 10 2017",29,26.72,21.28,43.82,30.15,0,868,59
1,2017-09-10 22:00:00,15,253.625,"Sun Sep 10 2017",29,26.91,21.29,44.28,30.33,0,868,60
1,2017-09-10 22:15:00,15.25,253.635,"Sun Sep 10 2017",28.46,26.56,21.34,46.37,31.11,0,868,61
