State,sample,Age,Sex,Income-total,Poverty,Year,Income-wages
Tennessee,1,10,Male,,,2020,999999
Kentucky,1,62,Female,,,2020,12000
Texas,1,10,Male,,,2020,999999
Michigan,1,40,Female,,,2020,45000
Idaho,1,11,Female,,,2020,999999
Wisconsin,1,9,Female,,,2020,999999
Indiana,1,28,Female,,,2020,38000
Texas,1,23,Female,,,2020,54000
New Jersey,1,15,Male,,,2020,999999
California,1,31,Male,,,2020,35000
Georgia,1,72,Female,,,2020,0
Utah,1,41,Male,,,2020,65000
Florida,1,61,Male,,,2020,0
Georgia,1,15,Female,,,2020,999999
Ohio,1,14,Female,,,2020,999999
Florida,1,82,Male,,,2020,0
New Hampshire,1,37,Male,,,2020,0
Texas,1,13,Female,,,2020,999999
Wisconsin,1,51,Male,,,2020,100000
Texas,1,23,Female,,,2020,24000
New Mexico,1,30,Male,,,2020,84000
Kentucky,1,29,Male,,,2020,55000
South Carolina,1,27,Male,,,2020,50000
Tennessee,1,59,Male,,,2020,41300
Texas,1,40,Female,,,2020,0
Indiana,1,59,Female,,,2020,50000
Florida,1,41,Female,,,2020,30000
Missouri,1,1,Male,,,2020,999999
Florida,1,38,Male,,,2020,104000
South Carolina,1,81,Female,,,2020,0
Michigan,1,60,Female,,,2020,62000
Oregon,1,57,Male,,,2020,0
Washington,1,32,Male,,,2020,39000
Texas,1,48,Male,,,2020,1900
Florida,1,18,Male,,,2020,19400
California,1,87,Female,,,2020,0
Texas,1,44,Male,,,2020,0
Oregon,1,79,Male,,,2020,0
Illinois,1,9,Female,,,2020,999999
California,1,27,Female,,,2020,0
Wisconsin,1,35,Male,,,2020,33000
Massachusetts,1,78,Female,,,2020,0
Kentucky,1,38,Female,,,2020,80000
New York,1,72,Female,,,2020,0
California,1,38,Female,,,2020,0
Texas,1,57,Female,,,2020,0
Iowa,1,48,Male,,,2020,0
Washington,1,10,Male,,,2020,999999
Minnesota,1,34,Female,,,2020,15000
California,1,15,Female,,,2020,999999
Illinois,1,22,Male,,,2020,3000
California,1,59,Female,,,2020,0
Mississippi,1,77,Female,,,2020,0
Georgia,1,8,Female,,,2020,999999
Michigan,1,26,Female,,,2020,6500
Pennsylvania,1,29,Female,,,2020,700
Texas,1,51,Male,,,2020,80000
Florida,1,72,Female,,,2020,0
New York,1,31,Female,,,2020,41600
Arkansas,1,93,Female,,,2020,0
Tennessee,1,44,Male,,,2020,105000
Colorado,1,62,Male,,,2020,100000
Kentucky,1,14,Female,,,2020,999999
New York,1,44,Female,,,2020,53000
Texas,1,29,Male,,,2020,10000
Oklahoma,1,4,Female,,,2020,999999
Pennsylvania,1,12,Female,,,2020,999999
New York,1,1,Female,,,2020,999999
New Jersey,1,59,Male,,,2020,135000
California,1,12,Female,,,2020,999999
Texas,1,72,Female,,,2020,4000
California,1,47,Male,,,2020,13000
Arizona,1,52,Male,,,2020,200000
Washington,1,45,Male,,,2020,67000
Florida,1,0,Female,,,2020,999999
Minnesota,1,60,Female,,,2020,60000
Texas,1,49,Female,,,2020,1300
Virginia,1,43,Male,,,2020,0
Florida,1,25,Female,,,2020,45800
Ohio,1,48,Female,,,2020,26000
California,1,30,Female,,,2020,25400
North Carolina,1,13,Male,,,2020,999999
Louisiana,1,23,Male,,,2020,5000
New York,1,61,Female,,,2020,0
Arkansas,1,11,Male,,,2020,999999
New Mexico,1,45,Female,,,2020,45000
Missouri,1,58,Female,,,2020,20000
California,1,33,Female,,,2020,0
Idaho,1,71,Female,,,2020,0
Florida,1,3,Male,,,2020,999999
