"ThoraxLength","Weight","Sex","ClawLength","ClawHeight","ClawWeight","PinchingForce","size"
16.2,33,"F",23.7,15.9,9.8,3,55.8
24.8,110,"F",33.7,20.7,14.2,10.8,79.2
28,150,"M",40,24.6,16.5,23.8,92.6
28.5,150,"F",41.9,26.4,16.8,18,96.8
28.5,160,"M",42.1,27.6,16.8,21.8,98.2
25.8,180,"M",40.4,26.4,16.3,19.6,92.6
30.5,194,"F",42.9,26.6,16.8,31.2,100
32.5,250,"M",48.9,29,18.5,30.3,110.4
34,290,"F",NA,NA,NA,24.9,NA
35.7,320,"F",NA,NA,NA,25.2,NA
35.8,350,"M",53.8,34.6,22.4,38.8,124.2
37.4,380,"F",54.2,33.4,21.4,34.4,125
36.9,400,"F",55.4,34.9,22.9,36.2,127.2
35.2,450,"F",55.2,37,24.3,43.8,127.4
42.1,614,"F",NA,NA,NA,34.6,NA
41,642,"F",69.2,44.1,26,59.3,154.3
40,670,"M",67.2,42.8,25.3,47,150
45.1,700,"M",NA,NA,NA,48.8,NA
48.6,760,"M",79.3,47.5,29.9,65.7,175.4
51.8,980,"M",NA,NA,NA,66.9,NA
47.5,1000,"M",76.4,51.9,31.5,85.6,175.8
49.8,1140,"M",NA,NA,NA,52.7,NA
52.5,1440,"M",90.6,55.1,35.6,95,198.2
62.1,1580,"M",103.5,58.4,40.3,144,224
64.5,1770,"M",98.5,59.1,38.4,134.5,222.1
62.5,1920,"M",104.4,60.2,40.7,120.3,227.1
61.7,2070,"M",107.7,64.9,40.8,180,234.3
63.3,2090,"M",109.1,65.9,45.2,161,238.3
63.9,2120,"M",106,65.1,43,134.5,235
