Timestamp,What is your height in INCHES,"What is your ""wingspan"" in INCHES",Which is your dominant hand for writing? 
12/29/2025 17:38:36,69.7,66.5,Left-handed
1/3/2026 14:23:42,71,71,Right-handed
1/5/2026 12:50:25,71,70,Right-handed
1/5/2026 13:11:43,67,63,Right-handed
1/5/2026 13:18:47,66,68,Right-handed
1/5/2026 15:41:59,63,60,Left-handed
1/5/2026 16:53:03,69,67,Right-handed
1/5/2026 17:43:52,64,63,Right-handed
1/5/2026 20:37:36,5'7,5'7,Right-handed
1/5/2026 22:02:10,65,67,Right-handed
1/5/2026 23:18:51,66,60,Right-handed
1/6/2026 9:45:04,73,73,Left-handed
1/6/2026 9:46:07,69,69,Right-handed
1/6/2026 9:47:17,62,60,Right-handed
1/6/2026 9:55:32,70,70,Right-handed
1/6/2026 10:58:32,60,59,Right-handed
1/6/2026 10:58:37,70,64,Right-handed
1/6/2026 11:23:12,72,71,Left-handed
1/6/2026 11:33:21,65.5,67.5,Left-handed
1/6/2026 11:50:08,68,73,Right-handed
1/6/2026 12:01:49,73,74,Right-handed
1/6/2026 12:33:55,70,72.5,Right-handed
1/6/2026 14:03:15,68,67,Right-handed
1/6/2026 14:22:38,66.9,65,Right-handed
1/6/2026 15:10:30,64.5,63,Right-handed
1/6/2026 15:19:35,70,72,Right-handed
1/6/2026 15:42:59,72,84,Right-handed
1/6/2026 15:43:43,68,72,Right-handed
1/6/2026 15:47:08,63,65,Right-handed
1/6/2026 16:04:06,71.5,70.5,Right-handed
1/6/2026 16:13:48,63,62.5,Right-handed
1/6/2026 16:14:33,62.5,63,Right-handed
1/6/2026 16:17:24,66,62,Right-handed
1/6/2026 16:18:41,69,72,Right-handed
1/6/2026 16:20:39,70.5,68.5,Right-handed
1/6/2026 16:23:13,70,68,Right-handed
1/6/2026 16:28:52,74,76,Right-handed
1/6/2026 16:51:17,67,67,Right-handed
1/6/2026 17:05:06,68,69,Right-handed
1/6/2026 17:05:28,68,69,Right-handed
1/6/2026 17:09:21,64,64,Right-handed
1/6/2026 17:47:40,68,70,Right-handed
1/6/2026 18:35:51,73,73,Right-handed
1/6/2026 18:45:33,62.16,59,Right-handed
1/6/2026 19:25:58,68,69,Right-handed
1/6/2026 19:27:19,68,69,Right-handed
1/6/2026 19:32:37,68,67,Right-handed
1/6/2026 21:04:26,63,65,Left-handed
1/6/2026 21:42:45,73,73.1,Right-handed
1/6/2026 21:45:45,63,62,Right-handed
1/6/2026 22:10:21,63,62,Right-handed
1/6/2026 23:21:41,70,66,Right-handed
1/6/2026 23:22:16,70,66,Right-handed
1/6/2026 23:39:02,65,64,Right-handed
1/7/2026 7:56:48,65.35,64.9,Right-handed
1/7/2026 9:28:51,70,74,Right-handed
1/7/2026 10:20:34,66,65,Right-handed
1/7/2026 11:47:06,67 inches,68 inches ,Right-handed
1/7/2026 12:18:24,69,70,Right-handed
1/7/2026 12:45:04,72,74,Right-handed
1/7/2026 14:48:06,64,63.5,Right-handed
1/7/2026 15:17:03,64.5,63,Right-handed
1/7/2026 15:34:21,69,72,Right-handed
1/7/2026 15:48:40,64,63,Right-handed
1/7/2026 15:57:12,73,72,Right-handed
1/7/2026 16:12:00,71,75,Right-handed
1/7/2026 16:23:49,67,65,Right-handed
1/7/2026 16:40:57,63,60,Left-handed
1/7/2026 16:54:37,65,64,Right-handed
1/7/2026 17:07:21,68,67,Right-handed
1/7/2026 17:10:01,62,61,Right-handed
1/7/2026 17:20:47,65,64,Right-handed
1/7/2026 17:43:57,73,74,Right-handed
1/7/2026 17:55:19,70,66,Right-handed
1/7/2026 17:56:38,65,66,Right-handed
1/7/2026 18:00:37,66,68,Right-handed
1/7/2026 18:15:47,70,71,Right-handed
1/7/2026 19:23:24,63,65,Left-handed
1/7/2026 21:21:06,72,74,Right-handed
1/7/2026 21:46:20,71 inches,70,Right-handed
1/7/2026 22:01:11,65,67,Right-handed
1/7/2026 22:08:40,65,66,Right-handed
1/7/2026 22:11:54,71.5,72,Right-handed
1/7/2026 22:18:57,71.3,71,Right-handed
1/7/2026 22:20:36,72,73,Right-handed
1/7/2026 23:26:59,65,64,Right-handed
1/7/2026 23:31:04,66,66,Right-handed
1/7/2026 23:57:01,71,72,Right-handed
1/8/2026 0:20:12,68,68,Left-handed
1/8/2026 0:32:33,70.5,68.2,Right-handed
1/8/2026 4:17:18,72,73,Right-handed
1/8/2026 7:59:10,77,78,Right-handed
