"Date","Month","Year","Season","Length of day","Sunrise","Sunset","Sunlight angle","UV Index","Solar intensity","Max air temp","Max surface temp","Precipitation","Clouds daytime","Soil moisture"
"3/19/23","March",2023,"Winter",12.09202417,6.966666667,19.05,54.68794737,0.92,23.02693758,60.674,64.4,0.166929224,94.27,0.83
"10/20/23","October",2023,"Fall",11.17713222,7.033333333,18.2,44.28432634,1.14,18.50999372,89.312,98.708,0,4.82,0.34
"7/13/23","July",2023,"Summer",14.25351306,5.85,20.1,77.63482317,3.04,33.26670624,87.35,98.798,0,3.07,0.41
"9/20/23","September",2023,"Summer",12.22087611,6.65,18.86666667,55.90113315,1.37,23.84262592,74.174,85.694,0.000787402,46.65,0.38
"9/14/25","September",2025,"Summer",12.43178639,6.583333333,19.01666667,58.32346165,1.72,25.12561635,83.894,99.554,0,12.46,0.34
"4/5/24","April",2024,"Spring",12.73112778,6.55,19.28333333,61.89852723,1.09,28.08086078,50.486,55.796,0.106692971,77.37,0.72
"1/13/25","January",2025,"Winter",10.09009306,6.983333333,17.06666667,34.19677971,0.45,14.96109912,62.6,68.198,0,5.85,0.34
"11/26/23","November",2023,"Fall",10.13578972,6.6,16.73333333,34.35919319,0.64,14.89513799,64.994,67.28,0,89.56,0.35
"1/30/25","January",2025,"Winter",10.48782861,6.866666667,17.35,37.78351775,0.45,15.58169116,55.796,63.212,0.017322844,43.36,0.37
"3/19/24","March",2024,"Winter",12.12782056,6.95,19.06666667,55.09217284,1.19,23.93645795,70.124,79.124,0.004330711,15.18,0.71
"5/3/24","May",2024,"Spring",13.64522944,6,19.65,71.72394754,1.61,29.88782413,71.186,82.292,0.005905515,26.91,0.59
"1/25/26","January",2026,"Winter",10.35483222,6.916666667,17.26666667,36.55315016,NA,NA,64.202,66.488,0,NA,0.67
"12/31/25","December",2025,"Winter",9.9117275,6.966666667,16.88333333,32.6828316,NA,NA,60.836,59.81,0.718898026,NA,0.66
